"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","Region","IncomeGroup","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","c1990","c1991","c1992","c1993","c1994","c1995","c1996","c1997","c1998","c1999","c2000","c2001","c2002","c2003","c2004","c2005","c2006","c2007","c2008","c2009","c2010","c2011","c2012","c2013","c2014","c2015","c2016","c2017","c2018","c2019"
"1","Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","South Asia","Low income",291.807061553646,251.146400605879,239.894355358304,168.430625518087,123.860019320992,178.67927743337,165.699168809688,155.808253766597,147.534397249537,134.848080499545,169.971477804309,113.944597193353,179.426579195916,190.683814290446,211.382074203303,242.031313183916,263.733601878375,359.69315787116,364.663542044033,437.268740240733,543.30652617321,591.190030212092,638.845851617987,624.315454499704,614.22334235639,556.00722086554,512.012778131934,516.679862203419,485.668418732827,494.179349891752,0.191745114991076,0.167681578847638,0.0959577421433218,0.084721110433272,0.0755458273872716,0.0684679555059887,0.0625880343135185,0.0568266177530693,0.052690856160549,0.0401569651487615,0.0365737041708027,0.0337853598501818,0.0455736604418946,0.051518375316516,0.0416553951076911,0.0604187824609654,0.0665832912711045,0.0653123468895936,0.128416561393343,0.171862417373093,0.24361403163371,0.296506230233402,0.259295336682479,0.185623667011346,0.146235613622015,0.172896746673111,0.149789328375175,0.131694549865136,0.163295295841845,0.15982437404245
"2","Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","Sub-Saharan Africa","Lower middle income",947.704262077515,865.692729592394,656.362015240656,441.200841971443,328.673148671386,397.179479250907,522.643698386589,514.295154058547,423.593687810511,387.784267167756,556.83618223535,527.333528536691,872.494441791274,982.960981888822,1255.56423822184,1902.42214975937,2599.56594793067,3121.99608528081,4080.94101529549,3122.78174333089,3497.9744877961,4518.31335013451,4978.43443525743,5127.71724294326,5094.1123293019,3127.89059784461,1728.02375418026,2313.22058359692,2524.94248263123,2177.79901475964,0.553661954772739,0.544538648814289,0.543557223342212,0.708984229804504,0.836804405412332,0.912141485191505,1.07216846488669,1.08663697422169,1.09182530795073,1.1098596566393,0.988077382561056,0.941828905449053,0.895577671608914,0.92486943690527,0.930262948430143,0.813539290993925,0.821840076464003,0.811753507873316,0.888658008764781,0.939403983407429,0.976184197617901,0.985522311911954,0.950695879457717,1.03629385191255,1.09977911107656,1.13504405041569,1.03181134788892,0.813300730203195,0.777674934412,0.792137069457626
"3","Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","Europe & Central Asia","Upper middle income",617.230435515505,336.58699450463,200.852219772323,367.279225077581,586.416339644263,750.604449178825,1009.97727483821,717.380047745674,813.789396580448,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222686,4247.63004748195,4413.06200528902,4578.63320812155,3952.80253807529,4124.05538986273,4531.01937376891,5287.66369446915,5396.2158643473,1.81954163372931,1.24281022043045,0.683699826210896,0.638307036219586,0.645355188531009,0.605436252895428,0.612367358547086,0.466921472384454,0.572153695185918,0.955359308384195,1.026213108529,1.05549588209555,1.23237878291558,1.3389849808862,1.40405868767094,1.33820939947885,1.33999573904164,1.3939313702533,1.38431124871868,1.44149356167856,1.52762366260495,1.66942319005525,1.50324046003101,1.53363003912154,1.66833737091547,1.60377514987108,1.55766435847472,1.78878607422544,1.78273894754715,1.69224831964856
"4","Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","Europe & Central Asia","High income",18878.8523130643,19534.2636301537,20549.8055751695,16515.6583953923,16235.0680377239,18458.1739929995,19016.2881877293,18355.6278604321,18895.110661321,19262.3089910407,21854.2468030613,22970.5122133618,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681091,47804.8499340211,48719.6587699036,43504.2156523201,40849.7612766795,43333.9730414796,38684.5665299215,39538.3552064404,41302.3821426181,35770.9186530025,37474.7458403619,38964.6620143611,41793.3188365378,40898.4179063904,7.52183165773831,7.23537923975576,6.96307869977243,6.72417751828648,6.5415789137788,6.73347948637645,6.99159454966363,7.30744115177711,7.63953850951045,7.92319164802386,7.95228628230616,7.72154906153481,7.56623988393346,7.24241556968804,7.34426232634998,7.35378001180027,6.79054277326908,6.53104692022051,6.4393038571151,6.15668747619036,6.15719777543413,5.85088610518153,5.94465417322895,5.94280041192477,5.80712772328595,6.02618182154689,6.08060028213865,6.10413391181354,6.36297539913701,6.4812174318824
"5","United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","Middle East & North Africa","High income",27729.3905933305,26612.253110068,26420.8598834079,25596.7393895625,25848.016250094,27221.9344117425,28975.0799572712,29512.6747918254,26899.601766231,28470.885858149,33291.3662541838,31280.7558649556,31567.5463066438,33499.1027760785,36333.1873330518,39365.4596409245,41907.42146957,41809.4621626311,44498.9405069138,32024.1977823245,33893.2772453878,39194.6752665789,40976.4964159714,42412.6364911519,43751.8173110723,38663.388255736,38141.8768898069,40644.7911908818,43839.3244857233,42701.4430454782,30.1951885681596,31.7784962411449,29.0809258353581,29.2756777650721,30.8493329561794,31.1250180634417,30.9280258798222,30.4863326222102,29.6635805168039,28.8871079817493,27.0351591079578,29.430269940976,28.5014617313995,27.9692698207009,27.0389382175218,25.3823810365917,22.9351042869163,21.3702857602629,22.0114692449859,19.8323488654893,19.0397697503711,18.5094573827043,19.2078011238179,20.0556475690671,20.0516979702415,21.0776419699804,21.4806686088848,20.7690223324057,18.390678060455,19.3295632814806
"6","Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","Latin America & Caribbean","Upper middle income",4333.48337168024,5735.35998058481,6823.53883710424,6969.11972904571,7483.14033425721,7408.70866363112,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031037,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314273,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323366,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10076.3552409481,3.07554132838369,3.20203130674861,3.21897372210352,3.2457952806325,3.25294528747174,3.2413418931481,3.47695320506142,3.5369899542418,3.67879380151389,3.68851827413871,3.58739203786108,3.3603711850022,3.11742482880113,3.35172371332405,3.67297399646765,3.75363923507433,3.94249128952415,4.10262963566713,4.1723885308823,3.86756996725025,4.09968971416256,4.2809893532601,4.26422378235981,4.34211506853729,4.20909563279429,4.30191387639873,4.20184577616112,4.07130836193664,3.97577197057929,3.74065029063396
"7","Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","Europe & Central Asia","Upper middle income",637.85592120941,590.505875579775,369.707232276547,357.202848575393,400.515593762191,456.374933276272,504.059842642234,523.284410700368,609.17165368466,597.432898792277,622.740922945279,694.423455373228,783.241214960092,930.125472654123,1191.92100563238,1643.75688889146,2158.1480742298,3139.28071035448,4010.86138084832,2994.34047090816,3218.37829927419,3525.80719813557,3681.84469060494,3838.17387997786,3986.23162376711,3607.28929855361,3591.82805221639,3914.52785436695,4220.54032079146,4604.64632355693,5.61025435790992,5.90257639328904,3.16600925985094,1.49861244544114,0.834433730125859,1.0909602905995,0.814339187422058,1.0660432973166,1.11622544665906,1.00679179804598,1.15976136281082,1.1800624515273,1.02835351550542,1.15973224102019,1.25303469021992,1.49601076260556,1.5177629900129,1.77316143075894,1.95693035605486,1.56158360111611,1.50835124445503,1.71734338010039,1.98319202749552,1.89812716968877,1.8816077373473,1.82529224417894,1.72675284025676,1.82356015509399,1.93445157896542,2.08606067775467
"8","Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","Latin America & Caribbean","High income",7347.64636864328,7602.34533414464,7745.72179961652,8136.18854727449,8771.14372746879,8406.35894515204,9030.57497762241,9491.66076559496,9940.85222769034,10260.5994054155,10872.2929515751,10367.3196068161,10401.0508759034,10797.9510571837,11446.9691417182,12557.5478500768,13995.8044243845,15622.6928710238,16044.1057963132,14160.5620007335,13048.9605816199,12746.6334682021,13272.7349447294,12910.5906255945,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545,17376.6496765003,3.35822685621992,3.47205782554488,4.49898385019935,3.80072061662891,3.72018273537596,3.93173345759553,3.98996808025536,4.04423556974912,4.37045029295675,4.41920882770442,4.34170536924231,4.532974149096,4.9809699570217,5.16952246754827,4.97840623745086,5.03302148761043,5.31947044206993,5.47430063840638,5.6210036919592,16.0243476210748,5.56628432962334,6.05042040848932,7.74276314974583,5.13605069181409,5.18571324378432,5.23666530802004,5.28988573846805,5.23971705527901,5.29694013900061,5.35447645499165
"9","Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","East Asia & Pacific","High income",18243.4714183672,18855.7619964202,18604.1882699613,17667.1870997502,18079.3801793746,20358.3333563413,21904.2941177592,23509.4234684514,21345.9709868552,20558.9604021981,21697.7084797731,19527.3235767954,20117.7888912664,23492.4051742272,30513.9417409748,34080.9998953244,36117.487983674,41001.1429790999,49654.9105957391,42783.3225651149,52087.972288889,62574.145703241,68027.8417067376,68156.6279162084,62511.6905895282,56707.0220772116,49881.7637140464,53934.2501750461,57180.7794001614,54875.2859563352,15.4484884354618,15.3182133765332,15.3415261503287,15.455368766627,15.6919630355643,16.0568835768039,16.4278302659604,16.6252632715883,17.5629308962642,17.6323576032971,17.7230721035869,17.8045639519909,17.9819247034404,17.721683734545,18.1747268677819,18.1462920125665,18.1414534921115,18.521097005896,18.3037480206975,18.2230995516682,17.5900692657153,17.2954158367427,17.0220422280855,16.4423157091219,15.8304215213482,15.863288004258,15.914657116179,15.818316324949,15.4935292521053,15.2382671504147
"10","Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","Europe & Central Asia","High income",21680.989623313,22410.9117666654,24880.1641180361,24081.5277928004,25646.7006591684,30325.8495818396,29809.0767730822,26705.4785993891,27361.8751106436,27183.4759263956,24625.6007227433,24558.7636778868,26527.5930910348,32294.0488606558,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004506,51919.9835754226,48153.3240199631,46903.7615854342,51442.2762464408,48564.9173350874,50731.1272541847,51786.3771747905,44195.8175947749,45307.5878620429,47429.1584564386,51486.5755014824,50114.4011099728,7.58936421003276,8.04911377864628,7.35392679412028,7.31124250265602,7.34364080776017,7.69726474086588,8.1542733229493,8.05969748398634,8.10727223698659,7.88881932213959,7.92978551259517,8.44410916140459,8.58331747454014,9.16834390776994,9.27561409968639,9.26611355969716,8.96156919548461,8.58780176061629,8.49967401978365,7.72114398171392,8.36501490116616,8.1354743812465,7.72361448670012,7.75369957604068,7.26040422807808,7.31715887345687,7.28881998322196,7.4861615826868,7.13306391934265,7.2939842524557
